season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,game_id,away_team,away_score,home_team,home_score,result
2001,1,CHI,REG,BAL,24,39,138,0,2,1,-5,1,0,36,138,10,-7.551184612722454,,0,28,56,0,2,0,6,-9.292630956546656,0,24,39,138,0,0,0,36,0,10,-5.490158924297748,0,0,44,9,9,3,6,2,0.0,0.0,0,0,0,3,0,0,0,0,3,4,2,2,0,5,56,3,2,16,3,65,2,3,1,0,46.0,0.6666666666666666,0,1,0,1,0,0,0,0,0,1,0,0,20;46,43,,66,43,0,0,0,0,0,,0,0,0,0,0,,CHI,6,BAL,17,11
2001,2,CHI,REG,MIN,23,38,237,2,1,0,0,0,0,18,237,11,2.7277864704111128,,0,19,47,0,0,0,4,-4.230188614164945,0,23,38,237,2,0,0,18,0,11,2.7277864704111128,0,0,51,10,10,6,21,4,3.0,18.0,1,0,0,3,0,0,0,0,0,0,2,3,0,7,78,3,2,19,3,62,1,1,0,0,45.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,45,,,45,0,0,2,2,0,0,1.0,0,0,0,0,0,,MIN,10,CHI,17,7
2001,4,CHI,REG,ATL,18,27,230,2,2,1,-9,0,0,18,230,8,3.0575717408251917,,0,24,79,1,0,0,5,-2.4115465593640693,0,18,27,230,2,0,0,18,0,8,4.979215169096828,0,0,50,4,6,7,32,3,6.0,29.0,5,3,68,4,0,0,0,0,0,0,2,2,1,5,67,5,0,0,2,45,1,2,1,0,42.0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,42,48,,42,48,0,4,4,0,0,1.0,0,0,0,0,0,,CHI,31,ATL,3,-28
2001,5,CHI,REG,ARI,15,21,116,0,2,0,0,0,0,59,116,5,-1.2961797733729838,,0,32,137,1,0,0,9,1.1202223577526738,0,15,21,116,0,0,0,59,0,5,-1.2961797733729838,0,0,49,4,4,4,16,1,1.0,10.0,1,0,0,8,0,0,0,0,1,2,1,1,1,5,45,4,3,21,3,53,2,2,0,0,46.0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,46;43,,,89,0,0,2,2,0,0,1.0,0,0,0,0,0,,ARI,13,CHI,20,7
2001,6,CHI,REG,CIN,23,30,232,2,0,0,0,0,0,0,232,11,11.783771931214757,,0,32,203,1,1,0,10,8.186384177417494,0,23,30,232,2,1,1,0,0,11,7.298696955454103,0,0,44,1,11,7,31,1,2.0,15.0,1,1,43,10,0,0,0,0,1,2,0,0,0,2,25,3,6,51,1,25,1,2,1,0,48.0,0.5,0,0,0,1,0,0,0,0,0,1,0,0,48,43,,48,43,0,3,3,0,0,1.0,0,0,0,0,0,,CHI,24,CIN,0,-24
2001,7,CHI,REG,SF,30,47,229,3,2,0,0,0,0,12,229,16,-3.000334619486239,,0,30,135,1,1,1,9,-2.4586467035841197,1,30,46,229,3,0,0,12,0,16,-2.492898987751687,0,0,47,8,8,3,5,1,3.0,2.0,2,2,42,3,1,0,1,0,0,0,0,0,0,3,17,5,3,22,7,146,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0,,SF,31,CHI,37,6
2001,8,CHI,REG,CLE,30,50,357,2,3,5,-43,2,1,30,357,20,-6.185776028200053,,0,32,99,1,0,0,6,-1.0816591247566976,0,30,50,357,2,1,0,30,0,20,10.381420058431104,0,0,41,5,5,6,26,0,3.0,20.0,3,1,16,6,1,1,0,0,2,2,0,0,0,6,55,6,4,52,4,94,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1.0,0,0,0,0,0,,CLE,21,CHI,27,6
2001,9,CHI,REG,GB,29,48,219,0,0,1,-4,1,0,0,219,14,0.3660232625614146,,0,24,47,0,0,0,2,-9.033849079278298,0,29,47,219,0,1,1,0,0,14,-0.9434493204532433,0,0,40,8,8,2,7,1,1.0,0.0,1,1,0,6,0,0,0,0,1,1,1,1,0,1,15,4,1,1,5,105,4,4,0,0,47.0,1.0,0,0,2,2,0,0,0,0,0,0,0,0,37;47;38;41,,,163,0,0,0,0,0,0,,0,0,0,0,0,,GB,20,CHI,12,-8
2001,10,CHI,REG,TB,14,25,228,3,1,3,-22,1,0,16,228,10,10.708722819908276,,0,29,68,0,1,0,2,-9.700889092944148,0,14,25,228,3,0,0,16,0,10,11.773136820745409,0,0,58,8,10,5,14,2,2.0,9.0,2,2,14,6,0,0,0,0,2,3,2,2,0,7,75,1,4,19,4,87,2,2,0,0,40.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,26;40,,,66,0,0,3,3,0,0,1.0,0,0,0,0,0,,CHI,27,TB,24,-3
2001,11,CHI,REG,MIN,10,21,97,0,0,1,-4,0,0,0,97,3,-7.161623525969011,,0,30,142,1,1,1,9,-3.9866249307524413,0,10,21,97,0,0,0,0,0,3,-5.454081605258656,0,0,47,8,22,4,22,1,3.0,17.0,4,1,8,8,0,0,0,0,0,1,0,0,0,2,15,4,4,59,3,64,2,2,0,0,43.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,30;43,,,73,0,0,1,1,0,0,1.0,0,0,0,0,0,,CHI,13,MIN,6,-7
